year,month,data,error,SElo,SEup,metric,timeseries,lat,lon,depth,order
1950,2,2.19,0.0,2.19,2.19,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1950,3,2.68,0.0,2.68,2.68,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1950,4,2.37,0.0,2.37,2.37,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1950,5,2.35,0.0,2.35,2.35,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1950,6,2.2,0.0,2.2,2.2,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1950,7,2.93,0.0,2.93,2.93,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1950,8,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1950,9,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1950,10,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1950,11,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1950,12,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1951,1,2.54,0.0,2.54,2.54,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1951,2,2.39,0.0,2.39,2.39,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1951,3,2.4,0.0,2.4,2.4,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1951,4,2.65,0.0,2.65,2.65,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1951,5,2.08,0.0,2.08,2.08,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1951,6,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1951,7,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1951,8,2.01,0.0,2.01,2.01,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1951,9,2.68,0.0,2.68,2.68,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1951,10,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1951,11,2.17,0.0,2.17,2.17,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1951,12,2.4,0.0,2.4,2.4,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1952,1,nan,nan,nan,nan,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1952,2,2.79,0.0,2.79,2.79,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
1952,3,2.24,0.0,2.24,2.24,DO (ml/L),Monthly Dissolved Oxygen at 150 m: 933_300 (32.84N -117.53W),32.840737091988125,-117.52649064985162,150.0,1.0
